time,ammeter_CS1,ammeter_PFP1,flux_loop_1,flux_loop_2,flux_loop_8
0.501,9709.735,-4.3401127,0.08943517,0.07806646,-0.00014693063
0.502,9797.664,-7.3997903,0.090757415,0.07974024,-0.00020799448
0.503,9878.586,-7.873899,0.09212366,0.081673734,-0.0001775147
0.504,9952.496,-5.914641,0.09353338,0.08369376,-0.00020796091
0.505,10029.675,-4.5848513,0.09497456,0.08577152,-0.00017746324
0.506,10103.534,-5.368691,0.09641918,0.08784928,-0.0002117324
0.507,10174.399,-5.1246634,0.09780914,0.09001363,-0.0002690388
0.508,10242.516,-2.6392949,0.099283025,0.09212024,-0.00023849758
0.509,10311.428,-2.7111275,0.100697294,0.09419799,-0.00024260815
0.51,10382.512,-4.20286,0.10213782,0.09618919,-0.00020799834
0.511,10449.706,-4.575149,0.103469566,0.098180376,-0.00011641344
0.512,10515.289,-4.023568,0.10482586,0.10017157,-8.589838e-05
0.513,10573.477,-5.1987104,0.10609354,0.10204734,-0.000116405856
0.514,10627.702,-4.070763,0.107421175,0.103811525,-8.595159e-05
0.515,10685.004,-5.4971995,0.10857073,0.1056546,-0.00014696355
0.516,10740.165,-6.2435822,0.10971981,0.10741013,-0.000116387375
0.517,10792.001,-7.4586744,0.11086984,0.10905983,-5.536341e-05
0.518,10843.842,-6.5112267,0.11204458,0.11067588,-5.5327226e-05
0.519,10898.276,-5.9963903,0.11310946,0.11226306,-0.000116312556
0.52,10953.596,-6.638233,0.11411307,0.11382143,-0.00014691585
0.521,11004.208,-7.7056494,0.115115486,0.11532205,-0.00017743127
0.522,11052.387,-5.8409266,0.116118155,0.11673612,-0.0002689999
0.523,11095.417,-3.9634888,0.117062785,0.11812135,-0.00023856759
0.524,11131.396,-3.981192,0.1179718,0.11939109,-0.00020796595
0.525,11168.81,-3.6449373,0.11883061,0.12066087,-0.00017744227
0.526,11207.038,-4.4601474,0.11965572,0.121815205,-0.0002079276
0.527,11244.512,-5.3503985,0.120422095,0.123027265,-0.00023843111
0.528,11281.202,-4.6593947,0.12118917,0.12412391,-0.00023267245
0.529,11315.841,-4.1045833,0.12189718,0.12519169,-0.0002079793
0.53,11351.482,-1.4798002,0.122575864,0.12623063,-0.00020802098
0.531,11388.011,-1.1042007,0.123252325,0.1272118,-8.582699e-05
